u,g,r,i,z,class,z1,zerr,u-g,g-r,r-i,i-z,class_encoded
19.35312,17.69827,16.73258,16.29778,15.94094,GALAXY,0.1330303,2.030612e-05,1.6548499999999997,0.9656900000000022,0.4347999999999992,0.35684000000000005,0
18.12499,16.46854,15.65493,15.20869,14.86938,GALAXY,0.06564156,1.469427e-05,1.6564499999999995,0.8136100000000006,0.4462399999999995,0.3393100000000011,0
19.58199,18.31293,17.66174,17.29772,17.08848,GALAXY,0.1459115,1.5292e-05,1.2690599999999996,0.6511899999999997,0.36402,0.2092400000000012,0
18.85043,16.9622,16.0617,15.65422,15.31927,GALAXY,0.06928186,1.222751e-05,1.88823,0.900500000000001,0.40747999999999784,0.33495000000000097,0
19.01412,17.98689,17.57792,17.38606,17.2972,STAR,0.000157186,2.403262e-05,1.0272299999999994,0.40897000000000006,0.19185999999999837,0.08886000000000038,2
17.96578,16.12333,15.34909,15.01426,14.82432,STAR,-0.0009907552,1.016836e-05,1.8424499999999995,0.7742399999999989,0.3348300000000002,0.18994,2
19.1104,18.27229,18.05787,17.99056,17.98969,STAR,-0.0007984359,3.833576e-05,0.8381099999999968,0.2144200000000005,0.06731000000000265,0.0008699999999990382,2
19.2646,17.98713,17.25558,16.86155,16.54423,GALAXY,0.1145735,1.261598e-05,1.277470000000001,0.7315500000000021,0.3940299999999972,0.31732000000000227,0
18.60303,18.26,18.18726,18.25639,18.13445,QSO,0.7594001,0.0002193186,0.34302999999999884,0.07274000000000314,-0.06913000000000125,0.1219399999999986,1
18.94729,17.69532,17.07992,16.72816,16.50107,GALAXY,0.06913586,1.098173e-05,1.25197,0.6153999999999975,0.3517600000000023,0.22709000000000046,0
19.06552,17.51991,16.91788,16.67756,16.59246,STAR,-2.522009e-05,7.7738e-06,1.54561,0.6020299999999992,0.24032000000000053,0.08510000000000062,2
18.64836,17.70843,17.37892,17.17426,17.07722,GALAXY,0.03691595,4.567213e-06,0.9399300000000004,0.3295099999999991,0.2046600000000005,0.0970399999999998,0
18.06617,16.84299,16.41322,16.26845,16.23721,STAR,-6.4054e-06,8.454197e-06,1.2231799999999993,0.4297700000000013,0.14476999999999762,0.03124000000000038,2
19.41457,17.97749,17.25951,16.85678,16.60597,GALAXY,0.07899468,2.635698e-05,1.4370800000000017,0.7179800000000007,0.40272999999999826,0.2508100000000013,0
16.41381,15.88875,14.57806,14.9576,14.48656,STAR,9.829072e-05,1.166254e-05,0.5250600000000016,1.3106899999999992,-0.37953999999999866,0.47103999999999857,2
16.58628,15.48617,15.48962,15.54815,15.61446,STAR,-0.0001387948,5.585534e-06,1.100109999999999,-0.0034500000000008413,-0.058529999999999305,-0.06630999999999965,2
18.55785,16.71517,15.83519,15.41427,15.06354,GALAXY,0.05076147,1.070729e-05,1.8426799999999979,0.8799799999999998,0.4209200000000006,0.35073000000000043,0
18.26793,16.70535,16.01615,15.65688,15.38852,GALAXY,0.05906865,1.98676e-05,1.5625800000000005,0.6891999999999996,0.3592700000000004,0.2683599999999995,0
19.24424,17.8682,17.00059,16.58503,16.27501,GALAXY,0.1658081,2.443076e-05,1.3760399999999997,0.8676100000000027,0.41555999999999926,0.31001999999999796,0
18.23894,16.41571,15.55619,15.16892,14.8811,GALAXY,0.09008967,1.296784e-05,1.8232299999999988,0.8595199999999998,0.3872700000000009,0.28781999999999996,0
15.24992,15.17167,12.95773,11.78802,13.31762,STAR,2.983217e-05,9.091869e-06,0.07824999999999882,2.213940000000001,1.1697100000000002,-1.5296000000000003,2
16.96126,15.98575,15.66578,15.54475,15.51175,STAR,2.828169e-05,9.528052e-06,0.9755099999999999,0.31996999999999964,0.1210299999999993,0.03300000000000125,2
19.14426,18.05434,17.60363,17.39803,17.30758,STAR,-8.305837e-05,1.604745e-05,1.0899199999999993,0.45071000000000083,0.20560000000000045,0.09044999999999703,2
18.68997,16.66547,15.66579,15.18908,14.82203,GALAXY,0.08830171,1.659335e-05,2.0244999999999997,0.9996799999999997,0.47670999999999886,0.36705000000000076,0
19.00208,17.29068,16.39981,15.92596,15.56881,GALAXY,0.1036358,1.608959e-05,1.7114000000000011,0.8908699999999996,0.47384999999999877,0.35715000000000074,0
19.25678,18.02208,17.48442,17.11457,16.8867,GALAXY,0.07393719,7.735836e-06,1.2347000000000001,0.5376599999999989,0.36984999999999957,0.22786999999999935,0
18.99165,17.70205,17.1147,16.855,16.72505,STAR,-0.0001666641,1.521981e-05,1.2896,0.5873500000000007,0.2596999999999987,0.1299500000000009,2
17.66573,16.48819,16.1069,15.88278,15.72259,GALAXY,0.04136341,7.365974e-06,1.1775400000000005,0.3812899999999999,0.2241199999999992,0.16019000000000005,0
17.52803,16.86262,17.21623,17.37514,21.95278,GALAXY,0.01592155,6.495014e-06,0.6654100000000014,-0.35360999999999976,-0.15890999999999877,-4.577640000000002,0
19.55181,18.91897,18.1431,17.71386,17.41316,GALAXY,0.2036334,2.775193e-05,0.6328399999999981,0.7758700000000012,0.42924000000000007,0.3006999999999991,0
18.81115,16.84221,15.83517,15.34701,14.97851,GALAXY,0.07022804,1.355649e-05,1.96894,1.0070400000000017,0.4881600000000006,0.36849999999999916,0
18.39125,18.22449,17.957,17.86694,17.90021,QSO,1.39527,0.0001321087,0.16676000000000002,0.2674899999999987,0.09006000000000114,-0.03327000000000169,1
19.59758,18.27578,17.59481,17.1845,16.86423,GALAXY,0.1105459,7.26085e-06,1.3217999999999996,0.6809700000000021,0.41030999999999906,0.3202700000000007,0
17.43658,16.05328,15.34312,14.99794,14.84908,STAR,0.0001533342,8.220317e-06,1.3832999999999984,0.7101600000000001,0.34518000000000093,0.1488599999999991,2
19.56766,18.11182,17.51151,17.1133,16.86975,GALAXY,0.05971953,7.926516e-06,1.4558399999999985,0.6003100000000003,0.3982100000000024,0.24354999999999905,0
19.12344,17.93769,17.51613,17.19537,17.07649,GALAXY,0.06744266,6.965836e-06,1.1857499999999987,0.4215599999999995,0.32075999999999993,0.11888000000000076,0
18.67502,17.15133,16.28102,15.80162,15.4549,GALAXY,0.08496954,1.543546e-05,1.5236899999999984,0.8703099999999999,0.4794000000000018,0.3467199999999995,0
18.49166,18.1895,18.09401,17.99944,17.83848,QSO,2.123427,0.0004414431,0.30216000000000065,0.09548999999999808,0.09457000000000093,0.16095999999999933,1
16.56835,14.82453,14.02,13.62234,13.33007,GALAXY,0.03015302,9.412223e-06,1.7438199999999995,0.8045299999999997,0.3976600000000001,0.29227000000000025,0
19.1982,19.00824,18.61361,18.53635,18.52703,QSO,1.211521,0.0002871463,0.18995999999999924,0.39462999999999937,0.07726000000000255,0.009319999999998885,1
17.50118,16.62136,16.34615,16.24181,16.23332,STAR,0.0001467015,9.065821e-06,0.8798200000000023,0.27520999999999773,0.10434000000000054,0.008490000000001885,2
17.32508,16.37878,15.93309,15.64896,15.44338,GALAXY,0.03842505,7.2689e-06,0.9463000000000008,0.44568999999999903,0.2841299999999993,0.2055800000000012,0
19.34966,17.9173,17.13769,16.66413,16.39891,GALAXY,0.08263622,1.026086e-05,1.4323599999999992,0.7796100000000017,0.4735599999999991,0.26521999999999935,0
19.00916,18.859,18.87354,18.66114,18.66586,QSO,1.694202,0.0003757672,0.15015999999999963,-0.014539999999996667,0.2123999999999988,-0.004719999999998947,1
15.1259,14.4097,14.0955,14.05119,14.11908,GALAXY,0.01227787,6.472881e-06,0.7161999999999988,0.31420000000000137,0.044309999999999405,-0.06789000000000023,0
19.13635,17.82811,17.17934,16.77027,16.47228,GALAXY,0.09028382,7.124128e-06,1.3082400000000014,0.648769999999999,0.4090699999999998,0.29798999999999864,0
18.42736,17.08447,16.58495,16.40273,16.32946,STAR,-0.0002482476,8.558858e-06,1.3428900000000006,0.4995200000000004,0.18222000000000094,0.07326999999999728,2
17.17031,15.86288,15.23764,14.9501,14.80019,STAR,0.0002309752,8.360784e-06,1.30743,0.6252399999999998,0.2875399999999999,0.1499100000000002,2
18.46874,17.4542,17.1343,17.00025,16.97181,STAR,-0.001121237,9.556642e-06,1.0145400000000002,0.3199000000000005,0.13404999999999845,0.0284399999999998,2
19.40667,18.105,17.47456,17.08483,16.89157,GALAXY,0.0533934,7.151501e-06,1.3016699999999979,0.6304400000000001,0.38973000000000013,0.19325999999999866,0
18.09666,16.91735,16.43072,16.22052,16.1095,STAR,-3.668772e-05,1.042863e-05,1.179310000000001,0.4866299999999981,0.2102000000000004,0.1110199999999999,2
19.35062,17.90006,17.33493,16.98621,16.73307,GALAXY,0.08144762,1.30956e-05,1.4505599999999994,0.5651299999999999,0.34872000000000014,0.25313999999999837,0
17.85697,16.59583,16.0819,15.80642,15.62302,GALAXY,0.03305304,1.181025e-05,1.261140000000001,0.5139299999999984,0.2754800000000017,0.1833999999999989,0
19.07996,17.77183,16.98446,16.52057,16.23232,GALAXY,0.08924216,7.407169e-06,1.3081299999999985,0.7873700000000028,0.46388999999999925,0.2882499999999979,0
19.55679,17.48389,16.40174,15.93539,15.57298,GALAXY,0.1333969,2.435415e-05,2.0729000000000006,1.0821499999999986,0.46635000000000026,0.36241000000000057,0
19.3219,18.06135,17.51593,17.29065,17.14622,STAR,-0.0003066897,1.58342e-05,1.2605499999999985,0.54542,0.22528000000000148,0.14442999999999984,2
18.44947,17.37048,17.04631,16.85609,16.69149,GALAXY,0.03468721,7.223905e-06,1.078990000000001,0.3241700000000023,0.19022000000000006,0.16459999999999653,0
